[API] [2019-08-16 19:38:32,300 57] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0584846
[API] [2019-08-16 19:40:10,531 73] [INFO] [EmployeesController] - Entered InsertTime method
[API] [2019-08-16 19:40:10,594 73] [INFO] [EmployeesController] - Inserting time into the database
[API] [2019-08-16 19:40:10,610 73] [INFO] [EmployeesController] - Inserting time into the database completed. Returning the status object
[API] [2019-08-16 19:40:10,781 73] [INFO] [EmployeesController] - InsertTime method Elapsed - 00:00:00.2559920
[API] [2019-08-16 19:40:10,846 57] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:40:10,861 57] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:40:13,848 57] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:40:13,860 57] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:03.0047223
[API] [2019-08-16 19:40:18,850 57] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:40:18,862 57] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:40:18,926 57] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:40:18,938 57] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0863793
[API] [2019-08-16 19:40:19,346 73] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:40:19,354 73] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:40:19,406 73] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:40:19,414 73] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0683049
[API] [2019-08-16 19:40:19,884 69] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:40:19,904 69] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-08-16 19:40:20,084 69] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:40:20,096 69] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.2115138
[API] [2019-08-16 19:40:20,360 77] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:40:20,376 77] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:40:20,392 77] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:40:20,400 77] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0419754
[API] [2019-08-16 19:40:22,692 77] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-08-16 19:40:22,700 77] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-08-16 19:40:22,776 77] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-08-16 19:40:22,784 77] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0917595
[API] [2019-08-16 19:40:23,195 73] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-08-16 19:40:23,207 73] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-08-16 19:40:23,271 73] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-08-16 19:40:23,279 73] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0844343
[API] [2019-08-16 19:40:23,686 77] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-08-16 19:40:23,698 77] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-08-16 19:40:23,786 77] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-08-16 19:40:23,790 77] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.1044834
[API] [2019-08-16 19:40:24,218 73] [INFO] [EmployeesController] - Entered Employees method
[API] [2019-08-16 19:40:24,226 73] [INFO] [EmployeesController] - Getting employees from database
[API] [2019-08-16 19:40:24,278 73] [INFO] [EmployeesController] - Getting employees from database completed. Returning the status object
[API] [2019-08-16 19:40:24,286 73] [INFO] [EmployeesController] - Employees method Elapsed - 00:00:00.0651242
[API] [2019-08-16 19:40:24,391 73] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-08-16 19:40:24,403 73] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-08-16 19:40:24,455 73] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:40:24,463 73] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0714143
[API] [2019-08-16 19:40:24,627 73] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-08-16 19:40:24,643 73] [INFO] [ReportsController] - Getting data from the database
[API] [2019-08-16 19:40:24,679 73] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-08-16 19:40:24,695 73] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0686836
[API] [2019-08-16 19:40:25,227 41] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-08-16 19:40:25,239 41] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
