[API] [2019-05-27 18:46:23,784 7] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:46:23,785 7] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0068968
[API] [2019-05-27 18:46:23,844 26] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-05-27 18:46:23,845 26] [INFO] [ReportsController] - Getting data from the database
[API] [2019-05-27 18:46:23,846 26] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:46:23,846 26] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0020224
[API] [2019-05-27 18:46:24,249 25] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:46:24,249 25] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:46:24,251 25] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:46:24,251 25] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0026343
[API] [2019-05-27 18:46:24,746 22] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:46:24,746 22] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:46:24,751 22] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:46:24,752 22] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0059121
[API] [2019-05-27 18:46:25,243 25] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:46:25,244 25] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:46:25,246 25] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:46:25,247 25] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0043779
[API] [2019-05-27 18:48:04,585 9] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:48:04,586 9] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:48:04,590 9] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:48:04,590 9] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0049963
[API] [2019-05-27 18:48:05,111 14] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:48:05,112 14] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:48:05,113 14] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:48:05,145 14] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0335482
[API] [2019-05-27 18:48:05,641 22] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:48:05,642 22] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-05-27 18:48:05,649 22] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:48:05,650 22] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0089834
[API] [2019-05-27 18:48:05,697 15] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-05-27 18:48:05,697 15] [INFO] [ReportsController] - Getting data from the database
[API] [2019-05-27 18:48:05,699 15] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:48:05,699 15] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0027845
[API] [2019-05-27 18:48:06,150 9] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:48:06,151 9] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:48:06,168 9] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:48:06,168 9] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0181366
[API] [2019-05-27 18:48:06,643 15] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:48:06,644 15] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:48:06,645 15] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:48:06,646 15] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0029963
[API] [2019-05-27 18:49:21,406 27] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:49:21,406 27] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:49:21,407 27] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:49:21,408 27] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0018702
[API] [2019-05-27 18:49:21,930 24] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:49:21,930 24] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:49:21,935 24] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:49:21,936 24] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0059962
[API] [2019-05-27 18:49:22,434 22] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:49:22,434 22] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:49:22,438 22] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:49:22,438 22] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0044102
[API] [2019-05-27 18:49:22,946 25] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:49:22,948 25] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:49:22,950 25] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:49:22,952 25] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0055112
[API] [2019-05-27 18:49:23,472 9] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:49:23,474 9] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-05-27 18:49:23,481 9] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:49:23,482 9] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0094079
[API] [2019-05-27 18:49:23,541 17] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-05-27 18:49:23,542 17] [INFO] [ReportsController] - Getting data from the database
[API] [2019-05-27 18:49:23,543 17] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:49:23,544 17] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0023666
[API] [2019-05-27 18:51:03,210 16] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:51:03,210 16] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:51:03,228 16] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:51:03,229 16] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0194657
[API] [2019-05-27 18:51:03,243 14] [INFO] [EmployeesController] - Entered GetAnniversary method
[API] [2019-05-27 18:51:03,244 14] [INFO] [EmployeesController] - Getting Anniversary from database
[API] [2019-05-27 18:51:03,246 14] [INFO] [EmployeesController] - Getting Anniversary from database completed. Returning the status object
[API] [2019-05-27 18:51:03,247 14] [INFO] [EmployeesController] - GetAnniversary method Elapsed - 00:00:00.0034055
[API] [2019-05-27 18:51:03,282 7] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:51:03,282 7] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-05-27 18:51:03,288 7] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:51:03,288 7] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0063220
[API] [2019-05-27 18:51:03,372 28] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-05-27 18:51:03,373 28] [INFO] [ReportsController] - Getting data from the database
[API] [2019-05-27 18:51:03,384 28] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:51:03,384 28] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0122589
[API] [2019-05-27 18:51:03,752 9] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:51:03,753 9] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:51:03,773 9] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:51:03,774 9] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0219110
[API] [2019-05-27 18:51:04,253 12] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:51:04,253 12] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:51:04,271 12] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:51:04,271 12] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0184559
[API] [2019-05-27 18:52:19,412 24] [INFO] [EmployeesController] - Entered GetCheckInTime method
[API] [2019-05-27 18:52:19,413 24] [INFO] [EmployeesController] - Getting CheckInTime from database
[API] [2019-05-27 18:52:19,415 24] [INFO] [EmployeesController] - Getting CheckInTime from database completed. Returning the status object
[API] [2019-05-27 18:52:19,415 24] [INFO] [EmployeesController] - GetCheckInTime method Elapsed - 00:00:00.0028338
[API] [2019-05-27 18:52:19,442 22] [INFO] [ReportsController] - Entered MonthlyReport method
[API] [2019-05-27 18:52:19,442 22] [INFO] [ReportsController] - Getting MonthlyReport data from the database 
[API] [2019-05-27 18:52:19,447 22] [INFO] [ReportsController] - Getting MonthlyReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:52:19,448 22] [INFO] [ReportsController] - MonthlyReport -Elapsed 00:00:00.0063220
[API] [2019-05-27 18:52:19,501 6] [INFO] [ReportsController] - Entered TimeReport method
[API] [2019-05-27 18:52:19,502 6] [INFO] [ReportsController] - Getting data from the database
[API] [2019-05-27 18:52:19,503 6] [INFO] [ReportsController] - Getting TimeReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:52:19,503 6] [INFO] [ReportsController] - TimeReport-Elapsed 00:00:00.0020022
[API] [2019-05-27 18:52:19,913 25] [INFO] [ReportsController] - Entered MissingEntriesReport method
[API] [2019-05-27 18:52:19,914 25] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database 
[API] [2019-05-27 18:52:19,921 25] [INFO] [ReportsController] - Getting MissingEntriesReport data from the database is completed . Returning the status object 
[API] [2019-05-27 18:52:19,922 25] [INFO] [ReportsController] - MissingEntriesReport-Elapsed00:00:00.0084061
[API] [2019-05-27 18:52:20,424 9] [INFO] [EmployeesController] - Entered GetCheckOutTime method
[API] [2019-05-27 18:52:20,425 9] [INFO] [EmployeesController] - Getting checkout time from database
[API] [2019-05-27 18:52:20,430 9] [INFO] [EmployeesController] - Getting checkout time from database completed. Returning the status object
[API] [2019-05-27 18:52:20,432 9] [INFO] [EmployeesController] - GetCheckOutTime method Elapsed - 00:00:00.0074487
[API] [2019-05-27 18:52:20,943 16] [INFO] [EmployeesController] - Entered GetAnniversary method
